"Assemblage","Group","cp","cp.05","cp.95","BSPretty"
"Diatom","Increasers",0.4415,0.223,0.52,"Total N"
"Diatom","Decreasers",0.3795,0.197475,0.4875,"Total N"
"SBA","Increasers",0.579,0.1995,2.391,"Total N"
"SBA","Decreasers",0.166,0.148,0.3185,"Total N"
"BMI","Increasers",0.6535,0.3325,2.84,"Total N"
"BMI","Decreasers",0.6465,0.3085,0.685099999999999,"Total N"
"Diatom","Increasers",0.08195,0.06465,0.08855,"Total P"
"Diatom","Decreasers",0.04795,0.029495,0.07145,"Total P"
"SBA","Increasers",0.07475,0.0647,0.1515,"Total P"
"SBA","Decreasers",0.03385,0.0260475,0.0405199999999999,"Total P"
"BMI","Increasers",0.0911,0.0779975,0.812574999999999,"Total P"
"BMI","Decreasers",0.07955,0.0062,0.1433,"Total P"
"Diatom","Increasers",47.36,18.48,49.4145,"Chl-a"
"Diatom","Decreasers",10.7,6.68,13.80045,"Chl-a"
"SBA","Increasers",26.15,22.36325,39.9099999999999,"Chl-a"
"SBA","Decreasers",36.2315,22.7,38.13,"Chl-a"
"BMI","Increasers",71.355,31.4115,113.94171,"Chl-a"
"BMI","Decreasers",31.06,20.58715,46.57725,"Chl-a"
"Diatom","Increasers",1.795,0.99,2.83,"AFDM"
"Diatom","Decreasers",1.075,0.7137,2.18,"AFDM"
"SBA","Increasers",1.856105,0.97295,2.02605,"AFDM"
"SBA","Decreasers",1.47833,0.801025,1.9455,"AFDM"
"BMI","Increasers",3.08626,1.43745,3.32635,"AFDM"
"BMI","Decreasers",2.0245,1.2183406,2.9465,"AFDM"
"Diatom","Increasers",17,9.5,33,"% cover"
"Diatom","Decreasers",18,10.5,31.5,"% cover"
"SBA","Increasers",16,12,28.5,"% cover"
"SBA","Decreasers",23,12,31,"% cover"
"BMI","Increasers",68,19,74.075,"% cover"
"BMI","Decreasers",28,0,30,"% cover"
